memory, inkling	abhav                 अभाव                                                          n.                       non-existence, absence,
lack, scarcity	abhaya                अभय                                                           n.                       lack of fear
lack, scarcity	abhibhavak           अभिभावक                                                         n.                      guardian
lack, scarcity	abhilekh             अभिलेख                                                          n.                      inscription
lack, scarcity	abhinaya             अभिनय                                                          n.                       mimicry,      imitation
lack, scarcity	abhiprerit           अभिप्रेरित                                                       90].                   motivated
lack, scarcity	abhipret             अभिप्रेत                                                         adj.                   planned
lack, scarcity	abhiram              अभिराम                                                           adj.                   extremely beautiful,
sublime	abhiruci              अभिरुचि                                                        n.                      inclination, earnest desire,
liking	abhivriddhi          अभिवृद्धि                                                       n.                      development
liking	abhiyan              अभियान                                                         n.                       expedition, march,
exploration	abhiyog              अभियोग                                                         n.                       accusation, allegation,
charge	abhiyukta             अभियुक्त                                                        90].                   accused
charge	abhrak                अञ्रक                                                         n.                       mica, talco (a soft mineral)
charge	abhyas                अभ्यास                                                        n.                       practice
charge	acamma               अचम्म                                                          n.                       surprise, wonder,
amazement	acamma       lagnu    अचम्म           लाग्नु                                          ४.1.                   to be surprised, to be
amazed,       to be astonished	acamma pamu          अचम्म पर्नु                                                      ५.1.                   to be surprised, to be
amazed, to be astonished	acamma     parnu   अचम्म पर्नु            v.t.   to surprise, to amaze, to
astonish	acanak             अचानक                  adv.   suddenly, abruptly,
unexpectedly	acano              अचानो                  n.     cutting board for meat
unexpectedly	acanu              अचानु                  n.     cutting board for meat
unexpectedly	aCar               अचार                   n.     hot and sour pickle, pickles,
chutney, salsa	aCar               आचार                   n.     conduct,    behaviour
chutney, salsa	aCaran             अचारण                  n.     conduct,    behaviour,
practice	accer              अच्चेर                 n.     letter [of the alphabet],
syllable	acel               अचेल                   adv.   these days, nowadays,
caste	achutoddhar        अछुतोद्धार             n.     reformation of
untouchables	ad                 आड                     n.     support, prop
untouchables	adalat             अदालत                  n.     law court
untouchables	adan-pradan        आदान प्रदान            n.     giving and taking of things,
take	adarniya           आदरणीय                 adj.   respectable, deserving
honour	adarniya sadasya   आदरणीय         सदस्य          honorary member
honour	adarsh             आदर्श                  n.     ideal, value
honour	adarvaci           आदरवाची                adj.   polite
honour	adaunu             अडाउनु                 v.t.   to support, to hold up, to
stop	adesh              आदेश                   n.     order, instruction,
command	adha               आधा                    adj.   half
command	adhai baje         अढाइ     बजे           adv.   half past two
command	adhaini            अढाइनी                 n.     the senior woman         ina
palace harem	adham          अधम           adj.      mean, low, wretched, base,
vile	adhar          आधार          n.        foundation,     basis, support
vile	adharat        आधारात        n.        midnight
vile	adharit        आधारित        adj.      based upon
vile	adharit cha    आधारित छ                based upon
vile	adharma        अधर्म         n.        sinfulness, irreligiousness
vile	adhi           आधी           adj.      almost a half
vile	adhikar        अधिकार        n.        right, authority, procession,
proprietorship	adhikari       अधिकारी       n.        officer, one having
proprietor	adhikrit       अधिकृत        adj.      authorised, vested with
authority	adhiraj        अधिराज        n.        supreme      ruler, sovereign,
overlord	adhirajkumar   अधिराजकुमार   n.        prince
overlord	adhirajya      अधिराज्य      n.        sovereignty, empire,
kingdom	adhiveshan     अधिबेशन       n.        session, meeting, sitting
kingdom	adhogati       अधोगति        n.        fall, downfall, degradation
kingdom	adhunik        आधुनिक        adj.      modern,      recent, current
kingdom	adhyaksha      अध्यक्ष       n.        chief, master, director,
supervisor	adhyay         अध्याय        n.        chapter, section, canto
supervisor	adhyayan       अध्ययन        n.        study, learning, tuition,
perusal	adi            आदि           n./adj.   beginning, primary, origin,
first, basic; etcetera, etc.	adijati        आदिजाति       n.        tribe, tribal, autoethon
first, basic; etcetera, etc.	adikal         आदिकाल        n.        primeval time
first, basic; etcetera, etc.	adikaran       आदिकारन       n.        first cause, fundamental
cause	adikavi        आदिकवि        n.        first poet, pioneer poet
cause	adikavya       आदिकाव्य      n.        first epic, Ramayana
cause	adinu          अडिनु         VI.       to stop
cause	adityavar      आदितयवार      n.        Sunday
cause	adivasi          आदिवासि             n.       aborigine, original
inhabitant	adkalnu          अडकल्नु             v.t.     to guess
inhabitant	adkanu           अडकनु               VI.      to get stuck, to be stopped,
to be halted	adkaunu          अडकाउनु             v.t.     to cause to stick
to be halted	adnu             अड्नु               VI.      to stop, to cease moving
to be halted	aduva            अदुवा               n.       ginger
to be halted	advittiya        अद्वितिय            adj.     unparalleled, second-to-
none	agadha           अगाध                adj.     unfathomable,     bottomless,
deep	agadi            अगाडि               postp.   in front of, before, ahead,
toward the front, first	agadi badhaunu   अगाडि      बढाउनु   v.t.     to lead forward
toward the front, first	agadi badhnu     अगाडि      बढ्नु    ४.1.     to advance, to move
forward	agal-bagal       अगल बगल             adv.     from left to right, on both
sides	agami            आगामी               adj.     coming, forthcoming,
ensuing	agati            अगति                n.       decline, lack of progress
ensuing	age              आगे                 adj.     before, future, in furute
ensuing	agena            अगेना               n.       fireplace, hearth
ensuing	ageno            अगेनो               n.       fireplace
ensuing	aghadi           अघाडि                        in front of, before, toward
the front, first	aghat            आघात                n.       blow, assault
the front, first	aghaun           आघौं                adv.     next year
the front, first	aghaunu          अघाउनु              VI.      to be satisfied with eating
the front, first	aghi             अघि                          already, before, previously,
ago,	aghi lagnu       अघि     लाग्नु      v.t.     to go first, to go ahead, to
lead, to guide	aghi nai         अघि नै              adv.     already, long ago
lead, to guide	aghi sarnu       अघि सर्नु           VI.      to advance,
incite, to instigate	aghi-aghi        अघि अघि                      a long time ago, in times
gone by	aghillo          अघिल्लो             adj.     first, former, front, anterior,
last, previous	aghiltira    अघिल्तिर     adv.      in front of, facing
last, previous	aghi-pachi   अघि पछि                some    other time, before, on
surrounded by	aghisamma    अघिसम्म      adv.      until recently
surrounded by	aglo         अग्लो        adj.      tall, high
surrounded by	aglo         आग्लो        n.        latch, bolt
surrounded by	aglyaunu     अग्ल्याउनु   v.t.      to lock, to pull to [a door]
surrounded by	agni         अरिन         n.        fire
surrounded by	agnikand     अरिनकाण्ड    n.        fire, conflagration
surrounded by	ago          आगो          n.        fire
surrounded by	agraha       आग्रह        n.        desire, longing, craving,
zeal, urging, insistence	agulto       अणगुल्टो     n.        piece of burning wood
